candidateId,value
630665b8594e18004af04b63,Certus
630665b8594e18004af04b69,Alas Peruanas
630665b8594e18004af04b71,Universidad César Vallejo​
630665b8594e18004af04b77,Certus
630665b8594e18004af04b7e,Universidad Cesar Vallejo
630665b8594e18004af04b84,Britanico
630665b8594e18004af04b90,Universidad Peruana Los Andes
630665b8594e18004af04b9a,Instituto De Formación Bancaria - Ifb
630665b8594e18004af04ba2,Universidad Privada Del Norte
630665b8594e18004af04ba9,Certus
630665b8594e18004af04bb3,Certus
630665b8594e18004af04bbb,Usil
630665b8594e18004af04bbb,Isil
630665b8594e18004af04bc5,Certus
630665b8594e18004af04bcc,Instituto Cibertec
630665b8594e18004af04bda,Universidad Peruana De Ciencias Aplicadas
630665b8594e18004af04be1,Zegel Ipae
630665b8594e18004af04be1,Instituto Tecnologico De Chile
630665b8594e18004af04bf4,Ifb Certus
630665b8594e18004af04bfa,Upn
630665b8594e18004af04c00,Icpna
630665b8594e18004af04c00,Torre Usil
630665b8594e18004af04c08,Universidad Tecnológica Del Perú
630665b8594e18004af04c10,Universidad Tecnologica Del Peru
630665b8594e18004af04c19,Certus
630665b8594e18004af04c28,Universidad César Vallejo
630665b8594e18004af04c2e,Certus
630665b8594e18004af04c35,Certus
630665b8594e18004af04c3d,Universidad Privada Del Norte
630665b8594e18004af04c45,Ibp  El Buen Pastor
630665b8594e18004af04c4c,Cibertec
630665b8594e18004af04c55,Icpna
630665b8594e18004af04c55,Universidad Tecnológica Del Perú
630665b8594e18004af04c5f,Ifb Certus
630665b8594e18004af04c65,Universidad Cesar Vallejo - Ucv
630665b8594e18004af04c6e,Instituto Cibertec
630665b8594e18004af04c77,Universidad Privada Del Norte
630665b8594e18004af04c7f,Cetpro Computec Millenium
630665b8594e18004af04c86,Universidad Nacional Del Callao - Unac
630665b8594e18004af04c8f,Pucp
630665b8594e18004af04c96,Universidad Autònoma Del Perù
630665b8594e18004af04c96,Instituto Superior Tecnológico Público Julio César Tello
630665b8594e18004af04c9d,Instituto De Formación Bancaria - Ifb
630665b8594e18004af04ca5,Universidad Autónoma Del Perú
630665b8594e18004af04ca5,Iep San José De Los Balnearios Del Sur
630665b8594e18004af04cb1,Cesca
630665b8594e18004af04cb8,Isil
630665b8594e18004af04cc1,Universidad Andina Néstor Cáceres Velasquez
630665b8594e18004af04cc9,Icpna
630665b8594e18004af04cc9,Instituto De Formación Bancaria - Ifb
630665b8594e18004af04cd1,Universidad Nacional Federico Villareal
630665b8594e18004af04cd1,Icpna
630665b8594e18004af04cd8,Ipae
630665b8594e18004af04cd8,Jose De San Martin
630665b8594e18004af04ce2,César Vallejo - Lima
630665b8594e18004af04cef,Universidad Científica Del Sur
630665b8594e18004af04cef,Adex
630665b8594e18004af04cfb,Instituto Arzobispo Loayza
630665b8594e18004af04cfb,Universidad Cesar Vallejo
630665b8594e18004af04d04,Adex Instituto
630665b8594e18004af04d0b,Idat
630665b8594e18004af04d15,Universidad San Ignacio De Loyola - Usil
630665b8594e18004af04d15,Instituto De Formación Bancaria - Ifb Certus
630665b8594e18004af04d20,Universidad San Martin De Porres
630665b8594e18004af04d20,Computronic
630665b8594e18004af04d31,Instituto De Formación Bancaria - Ifb
